rank,feature,importance
1,rel_delta_CH2,0.530797
2,diffent_delta_CH6,0.298200
3,mean_CH15,0.256214
4,variance_CH3,0.246451
5,diffent_gamma_CH8,0.232102
6,mean_CH5,0.199611
7,diffent_delta_CH3,0.178910
8,abs_gamma_CH8,0.127281
9,hjorth_mobility_CH2,0.117873
10,gamma_theta_ratio_CH2,0.107796
11,spectral_entropy_CH13,0.106712
12,rel_gamma_CH2,0.102675
13,diffent_delta_CH8,0.099824
14,abs_alpha_CH16,0.093940
15,variance_CH1,0.093285
16,abs_gamma_CH3,0.087751
17,diffent_delta_CH14,0.083143
18,diffent_delta_CH13,0.077592
19,abs_delta_CH8,0.071855
20,hjorth_activity_CH1,0.064221
21,skewness_CH5,0.060645
22,abs_theta_CH3,0.057710
23,mean_CH3,0.056866
24,abs_delta_CH13,0.055080
25,abs_beta_CH12,0.050798
26,hjorth_mobility_CH13,0.048922
27,abs_gamma_CH12,0.047078
28,spectral_entropy_CH16,0.045988
29,abs_delta_CH1,0.044077
30,skewness_CH3,0.043036
31,abs_delta_CH2,0.042287
32,abs_beta_CH3,0.041671
33,diffent_beta_CH10,0.041279
34,mean_CH2,0.037808
35,skewness_CH18,0.036908
36,rel_delta_CH16,0.035664
37,mean_CH8,0.035562
38,gamma_theta_ratio_CH12,0.035076
39,skewness_CH9,0.034152
40,gamma_theta_ratio_CH7,0.033015
41,abs_beta_CH2,0.032064
42,diffent_gamma_CH1,0.031018
43,mean_CH7,0.030507
44,rel_alpha_CH8,0.029190
45,abs_delta_CH18,0.028455
46,kurtosis_CH12,0.027490
47,hjorth_mobility_CH18,0.024953
48,rel_alpha_CH12,0.024586
49,variance_CH8,0.024340
50,skewness_CH7,0.023918
51,diffent_alpha_CH19,0.022844
52,rel_gamma_CH16,0.022555
53,abs_theta_CH14,0.022325
54,kurtosis_CH9,0.020855
55,abs_theta_CH11,0.016937
56,diffent_theta_CH17,0.016393
57,diffent_alpha_CH7,0.000000
58,diffent_alpha_CH6,0.000000
59,diffent_alpha_CH5,0.000000
60,diffent_alpha_CH9,0.000000
61,diffent_alpha_CH4,0.000000
62,diffent_alpha_CH10,0.000000
63,diffent_alpha_CH8,0.000000
64,diffent_delta_CH2,0.000000
65,diffent_alpha_CH11,0.000000
66,diffent_alpha_CH12,0.000000
67,diffent_alpha_CH3,0.000000
68,diffent_alpha_CH14,0.000000
69,diffent_alpha_CH15,0.000000
70,diffent_alpha_CH16,0.000000
71,diffent_alpha_CH17,0.000000
72,diffent_alpha_CH18,0.000000
73,abs_beta_CH1,0.000000
74,abs_delta_CH14,0.000000
75,diffent_alpha_CH13,0.000000
76,rel_alpha_CH19,0.000000
77,diffent_alpha_CH2,0.000000
78,diffent_alpha_CH1,0.000000
79,abs_alpha_CH18,0.000000
80,abs_alpha_CH19,0.000000
81,rel_alpha_CH1,0.000000
82,rel_alpha_CH2,0.000000
83,rel_alpha_CH3,0.000000
84,rel_alpha_CH4,0.000000
85,rel_alpha_CH5,0.000000
86,rel_alpha_CH6,0.000000
87,rel_alpha_CH7,0.000000
88,rel_alpha_CH9,0.000000
89,rel_alpha_CH10,0.000000
90,rel_alpha_CH11,0.000000
91,rel_alpha_CH13,0.000000
92,rel_alpha_CH14,0.000000
93,rel_alpha_CH15,0.000000
94,rel_alpha_CH16,0.000000
95,rel_alpha_CH17,0.000000
96,abs_delta_CH16,0.000000
97,rel_alpha_CH18,0.000000
98,abs_beta_CH4,0.000000
99,abs_delta_CH15,0.000000
100,abs_delta_CH12,0.000000
101,abs_beta_CH7,0.000000
102,abs_delta_CH11,0.000000
103,rel_beta_CH19,0.000000
104,rel_beta_CH11,0.000000
105,rel_beta_CH12,0.000000
106,rel_beta_CH13,0.000000
107,rel_beta_CH14,0.000000
108,rel_beta_CH15,0.000000
109,abs_delta_CH6,0.000000
110,rel_beta_CH16,0.000000
111,rel_beta_CH17,0.000000
112,rel_beta_CH18,0.000000
113,abs_delta_CH5,0.000000
114,diffent_beta_CH1,0.000000
115,rel_beta_CH9,0.000000
116,diffent_beta_CH2,0.000000
117,diffent_beta_CH3,0.000000
118,abs_delta_CH4,0.000000
119,diffent_beta_CH4,0.000000
120,diffent_beta_CH5,0.000000
121,diffent_beta_CH6,0.000000
122,diffent_beta_CH7,0.000000
123,diffent_beta_CH8,0.000000
124,diffent_beta_CH9,0.000000
125,abs_delta_CH3,0.000000
126,rel_beta_CH10,0.000000
127,rel_beta_CH8,0.000000
128,abs_beta_CH5,0.000000
129,abs_beta_CH15,0.000000
130,abs_beta_CH6,0.000000
131,abs_delta_CH17,0.000000
132,abs_beta_CH8,0.000000
133,abs_beta_CH9,0.000000
134,abs_beta_CH10,0.000000
135,abs_delta_CH10,0.000000
136,abs_beta_CH11,0.000000
137,abs_delta_CH9,0.000000
138,abs_beta_CH13,0.000000
139,abs_beta_CH14,0.000000
140,abs_beta_CH16,0.000000
141,abs_delta_CH7,0.000000
142,abs_beta_CH17,0.000000
143,abs_beta_CH18,0.000000
144,abs_beta_CH19,0.000000
145,rel_beta_CH1,0.000000
146,rel_beta_CH2,0.000000
147,rel_beta_CH3,0.000000
148,rel_beta_CH4,0.000000
149,rel_beta_CH5,0.000000
150,rel_beta_CH6,0.000000
151,rel_beta_CH7,0.000000
152,abs_alpha_CH17,0.000000
153,abs_alpha_CH12,0.000000
154,abs_alpha_CH15,0.000000
155,rel_theta_CH1,0.000000
156,abs_theta_CH9,0.000000
157,abs_theta_CH10,0.000000
158,abs_theta_CH12,0.000000
159,abs_theta_CH13,0.000000
160,rel_delta_CH12,0.000000
161,abs_theta_CH15,0.000000
162,abs_theta_CH16,0.000000
163,abs_theta_CH17,0.000000
164,abs_theta_CH18,0.000000
165,abs_theta_CH19,0.000000
166,rel_theta_CH2,0.000000
167,abs_alpha_CH14,0.000000
168,rel_delta_CH11,0.000000
169,rel_theta_CH3,0.000000
170,rel_theta_CH4,0.000000
171,rel_delta_CH10,0.000000
172,rel_theta_CH5,0.000000
173,rel_delta_CH9,0.000000
174,rel_theta_CH6,0.000000
175,rel_theta_CH7,0.000000
176,rel_theta_CH8,0.000000
177,rel_theta_CH9,0.000000
178,abs_theta_CH8,0.000000
179,abs_theta_CH7,0.000000
180,abs_theta_CH6,0.000000
181,abs_theta_CH5,0.000000
182,diffent_delta_CH4,0.000000
183,diffent_delta_CH5,0.000000
184,rel_delta_CH19,0.000000
185,diffent_delta_CH7,0.000000
186,rel_delta_CH18,0.000000
187,diffent_delta_CH9,0.000000
188,diffent_delta_CH10,0.000000
189,diffent_delta_CH11,0.000000
190,diffent_delta_CH12,0.000000
